dataset,dataset_label,model,score,n,n_hypo,base_rate,operating_point,thr,tp,fp,fn,tn,sens,spec,ppv,npv,fp_per100,alarms_per100,ppv_lo,ppv_hi,fp_per100_lo,fp_per100_hi,spec_lo,spec_hi
aleppo_2017,Replace-BG,tft,point,4243,1047,0.2467593683714353,sens80,-7.195416450500488,838,1494,209,1702,0.8003820439350525,0.532540675844806,0.35934819897084047,0.8906331763474621,35.210935658732026,54.961112420457226,0.3356965765886594,0.3818432810824169,32.924228140466646,38.03912326184304,0.49701949310923976,0.5606092377644101
aleppo_2017,Replace-BG,tft,point,4243,1047,0.2467593683714353,youden,-6.241302967071533,636,741,411,2455,0.6074498567335244,0.7681476846057572,0.46187363834422657,0.8565945568736916,17.464058449210466,32.4534527456988,,,,,,
aleppo_2017,Replace-BG,ttm,point,4243,1047,0.2467593683714353,sens90,-8.522970854236178,943,2232,104,964,0.9006685768863419,0.3016270337922403,0.297007874015748,0.9026217228464419,52.60428941786472,74.82913033231205,0.278840734102863,0.3183772938015691,49.092033938251234,55.62161206693377,0.2632839297295554,0.3476384284982884
aleppo_2017,Replace-BG,ttm,point,4243,1047,0.2467593683714353,sens80,-7.734970593776044,838,1605,209,1591,0.8003820439350525,0.4978097622027534,0.34302087597216535,0.8838888888888888,37.82700919160971,57.577185953334904,0.32134247881198147,0.3666177907756935,35.18618901720481,40.44426113598868,0.4626524615978718,0.5317341893504756
aleppo_2017,Replace-BG,ttm,point,4243,1047,0.2467593683714353,youden,-6.675924187077641,646,816,401,2380,0.6170009551098377,0.7446808510638298,0.4418604651162791,0.8558072635742539,19.231675701154842,34.456752297902426,,,,,,
aleppo_2017,Replace-BG,deepar,point,4243,1047,0.2467593683714353,sens90,-7.402948617935181,943,2249,104,947,0.9006685768863419,0.29630788485607007,0.29542606516290726,0.90104662226451,53.00494932830544,75.22979024275277,0.2788316655055474,0.3158090175953079,49.77610181475371,55.45663445675229,0.2654846286121713,0.3375584518129542
aleppo_2017,Replace-BG,deepar,point,4243,1047,0.2467593683714353,sens80,-6.911951541900635,838,1692,209,1504,0.8003820439350525,0.47058823529411764,0.3312252964426877,0.8779918272037361,39.87744520386519,59.627621965590386,0.3078058419957145,0.3612604810336727,35.63457459344803,43.059156257365075,0.4277647347688742,0.5265986276756033
aleppo_2017,Replace-BG,deepar,point,4243,1047,0.2467593683714353,youden,-6.038886547088623,648,771,399,2425,0.6189111747851003,0.7587609511889862,0.45665961945031713,0.8587110481586402,18.171105349988217,33.44331840678765,,,,,,
brown_2019,DCLP3,chronos2,point,3809,463,0.12155421370438435,sens90,-8.029291152954102,417,2502,46,844,0.9006479481641468,0.2522414823670054,0.14285714285714285,0.9483146067415731,65.686531898136,76.63428721449199,0.12724239590110603,0.1563498559437879,63.21803622998162,71.17419270149645,0.18932949899552393,0.2779125223390364
brown_2019,DCLP3,chronos2,point,3809,463,0.12155421370438435,sens80,-7.3926801681518555,371,2001,92,1345,0.8012958963282938,0.40197250448296473,0.1564080944350759,0.9359777313848295,52.53347335258598,62.27356261485954,0.13888834251245738,0.1772799740297215,46.41638225255973,58.808086111840375,0.33055353707173046,0.4705098548853503
brown_2019,DCLP3,chronos2,point,3809,463,0.12155421370438435,youden,-6.161466598510742,242,708,221,2638,0.5226781857451404,0.7884040645546921,0.25473684210526315,0.9227002448408534,18.587555788920977,24.940929377789445,,,,,,
brown_2019,DCLP3,moirai,point,3809,463,0.12155421370438435,sens90,-7.841248273849487,417,2553,46,793,0.9006479481641468,0.2369994022713688,0.1404040404040404,0.9451728247914184,67.02546600157521,77.97322131793122,0.12932339016316563,0.1580775628689781,60.43580992386453,69.51955893935416,0.20915565443308934,0.31054459188345873
