dataset,dataset_label,model,metric,point,lo,hi,higher_is_better
lynch_2022,IOBP2,tide,dilate_shape,386.13309214619096,334.8454937338225,440.44842084807567,False
lynch_2022,IOBP2,deepar,dilate_shape,352.5366847665775,303.5104905760024,405.714013464543,False
lynch_2022,IOBP2,chronos2,auroc,0.6500376902386953,0.6239733574187482,0.6768468811203917,True
lynch_2022,IOBP2,moirai,auroc,0.7048466269571797,0.6752539476760707,0.7328270897877196,True
lynch_2022,IOBP2,toto,auroc,0.699387111447413,0.66900149805133,0.730532309378137,True
lynch_2022,IOBP2,timesfm,auroc,0.6289412168809153,0.6055914839568695,0.6510993462708884,True
lynch_2022,IOBP2,patchtst,auroc,0.6725868007275043,0.640520988655672,0.7058478300747999,True
lynch_2022,IOBP2,tft,auroc,0.6150270873888964,0.595011285174213,0.6353358337466323,True
lynch_2022,IOBP2,tide,auroc,0.6054173340605502,0.5794959359043291,0.6329724388931383,True
lynch_2022,IOBP2,deepar,auroc,0.607611919169708,0.5729237550855785,0.6436881039394581,True
lynch_2022,IOBP2,chronos2,auprc,0.41847827041811625,0.3660573225558621,0.4721942803448121,True
lynch_2022,IOBP2,moirai,auprc,0.45530590853175457,0.40712454223089667,0.5052840259034128,True
lynch_2022,IOBP2,toto,auprc,0.4487209846883212,0.39638727600859475,0.5022436904004529,True
lynch_2022,IOBP2,timesfm,auprc,0.39183886641229226,0.34531652889099057,0.4383902617730722,True
lynch_2022,IOBP2,patchtst,auprc,0.41932812185307045,0.37129820468444785,0.47069981184999854,True
lynch_2022,IOBP2,tft,auprc,0.37213055336844253,0.3300077788642845,0.41660045209444646,True
lynch_2022,IOBP2,tide,auprc,0.35809848266181166,0.3167041341417499,0.40318835645020473,True
lynch_2022,IOBP2,deepar,auprc,0.3748097867244472,0.32594185315505075,0.42524721351958267,True
