dataset,dataset_label,model_a,model_b,wilcoxon_stat,p_raw,p_holm,rank_biserial,mean_rmse_diff,significant_holm
lynch_2022,IOBP2,patchtst,moment,1274.0,8.232324520851969e-47,3.704546034383386e-45,-0.9461060112525911,-0.4855964607770096,True
lynch_2022,IOBP2,tft,ttm,6548.0,4.784409826363711e-28,1.387478849645476e-26,-0.7230001269089217,-0.2211831410365912,True
lynch_2022,IOBP2,tft,tide,5969.0,7.275285286447208e-30,2.2553384387986345e-28,-0.7474935487964804,-0.1977237897421782,True
lynch_2022,IOBP2,tft,deepar,7806.0,2.6567342840225273e-24,6.641835710056318e-23,-0.6697829857438978,-0.29114161646241365,True
lynch_2022,IOBP2,tft,moment,1907.0,2.6881200358511797e-44,1.1021292146989837e-42,-0.9193282287744828,-0.6405590758709687,True
lynch_2022,IOBP2,ttm,tide,20377.0,0.03611808168916034,0.14447232675664137,0.13799230085875036,0.02345935129441301,False
lynch_2022,IOBP2,ttm,deepar,20619.0,0.05236409442256408,0.15709228326769226,-0.1277549811751766,-0.06995847542582245,False
lynch_2022,IOBP2,ttm,moment,1851.0,1.621545933348335e-44,6.810492920063007e-43,-0.9216971953128305,-0.4193759348343775,True
lynch_2022,IOBP2,tide,deepar,19878.0,0.01568488922161455,0.07842444610807275,-0.15910148483438386,-0.09341782672023546,False
lynch_2022,IOBP2,tide,moment,2855.0,1.1501010373380122e-40,4.255373838150645e-39,-0.8792250095181692,-0.44283528612879053,True
lynch_2022,IOBP2,deepar,moment,7166.0,3.585015847742144e-26,1.0038044373678003e-24,-0.6968568890392994,-0.34941745940855506,True
tamborlane_2008,Tamborlane,chronos2,moirai,13829.0,1.9683035658703498e-36,4.920758914675875e-35,-0.7015270058814007,-0.10349464854844914,True
tamborlane_2008,Tamborlane,chronos2,toto,11776.0,5.906833311285831e-41,1.7720499933857492e-39,-0.7458371553445206,-0.10463611696892405,True
tamborlane_2008,Tamborlane,chronos2,timesfm,43305.0,0.24034387983728078,0.5489917869189952,0.06534290185075271,0.010414918189744604,False
tamborlane_2008,Tamborlane,chronos2,patchtst,41140.0,0.04403474820910365,0.1761389928364146,0.11207036097771543,0.017541502594495828,False
tamborlane_2008,Tamborlane,chronos2,tft,28016.0,1.216178026841589e-12,1.7026492375782248e-11,-0.39532725408730374,-0.028745927865097887,True
tamborlane_2008,Tamborlane,chronos2,ttm,40679.0,0.02834015452885449,0.1685363265504712,-0.12202018021906869,-0.007986341467579816,False
tamborlane_2008,Tamborlane,chronos2,tide,27109.0,8.968085105047313e-14,1.345212765757097e-12,-0.4149031457400313,-0.03724670278377484,True
tamborlane_2008,Tamborlane,chronos2,deepar,10747.0,2.520408291546525e-43,8.06530653294888e-42,-0.768046187881077,-0.2502827738610751,True
tamborlane_2008,Tamborlane,chronos2,moment,5120.0,1.6768609394404143e-57,7.04281594564974e-56,-0.8894944153671829,-0.2711232946712343,True
tamborlane_2008,Tamborlane,moirai,toto,45723.0,0.8131402788321961,0.8131402788321961,0.013154912858144931,-0.0011414684204749115,False
tamborlane_2008,Tamborlane,moirai,timesfm,9936.0,3.056146753645989e-45,1.130774298849016e-43,0.7855500998219392,0.11390956673819375,True
tamborlane_2008,Tamborlane,moirai,patchtst,10624.0,1.2989322234386735e-43,4.41636955969149e-42,0.7707009118869045,0.12103615114294497,True
tamborlane_2008,Tamborlane,moirai,tft,20907.0,6.171677618297534e-23,1.3577690760254575e-21,0.5487616683753305,0.07474872068335126,True
tamborlane_2008,Tamborlane,moirai,ttm,10473.0,5.738824905750506e-44,2.008588717012677e-42,0.7739599633086927,0.09550830708086933,True
tamborlane_2008,Tamborlane,moirai,tide,22567.0,3.0622145916196494e-20,6.430650642401264e-19,0.5129336858576593,0.0662479457646743,True
tamborlane_2008,Tamborlane,moirai,deepar,24680.0,4.568948148208808e-17,8.224106666775854e-16,-0.4673285490746236,-0.14678812531262597,True
tamborlane_2008,Tamborlane,moirai,moment,12623.0,4.6822907921039095e-39,1.2642185138680555e-37,-0.7275562510117088,-0.16762864612278516,True
tamborlane_2008,Tamborlane,toto,timesfm,10647.0,1.4705956325197028e-43,4.8529655873150196e-42,0.7702045000809367,0.11505103515866866,True
tamborlane_2008,Tamborlane,toto,patchtst,8783.0,4.866000300240526e-48,1.8490801140913997e-46,0.8104354394863217,0.12217761956341988,True
tamborlane_2008,Tamborlane,toto,tft,19884.0,1.097542511701243e-24,2.5243477769128587e-23,0.5708412021798953,0.07589018910382617,True
tamborlane_2008,Tamborlane,toto,ttm,11035.0,1.1794934991260945e-42,3.6564298472908927e-41,0.761830248745481,0.09664977550134424,True
tamborlane_2008,Tamborlane,toto,tide,25852.0,1.9772263627195982e-15,3.361284816623317e-14,0.44203313009226786,0.06738941418514921,True
tamborlane_2008,Tamborlane,toto,deepar,23202.0,2.951962140099121e-19,5.903924280198242e-18,-0.4992284033885502,-0.14564665689215106,True
tamborlane_2008,Tamborlane,toto,moment,11851.0,8.737694216897156e-41,2.5339313229001754e-39,-0.7442184211946258,-0.16648717770231025,True
tamborlane_2008,Tamborlane,timesfm,patchtst,42899.0,0.18299726230633173,0.5489917869189952,0.07410564938218313,0.007126584404751224,False
tamborlane_2008,Tamborlane,timesfm,tft,30253.0,4.4899929559570447e-10,5.3879915471484535e-09,-0.34704581017644204,-0.03916084605484249,True
tamborlane_2008,Tamborlane,timesfm,ttm,37864.0,0.0010225015172642322,0.00920251365537809,-0.18277666864511952,-0.01840125965732442,True
tamborlane_2008,Tamborlane,timesfm,tide,26476.0,1.352538071259693e-14,2.1640609140155089e-13,-0.4285652619651433,-0.04766162097351945,True
tamborlane_2008,Tamborlane,timesfm,deepar,10229.0,1.5220562872130688e-44,5.479402633967048e-43,-0.7792262450763503,-0.2606976920508197,True
tamborlane_2008,Tamborlane,timesfm,moment,2862.0,9.0455894406473e-64,4.0705152482912845e-62,-0.9382291048400151,-0.2815382128609789,True
tamborlane_2008,Tamborlane,patchtst,tft,28374.0,3.291482700427332e-12,4.278927510555532e-11,-0.387600496411806,-0.046287430459593715,True
tamborlane_2008,Tamborlane,patchtst,ttm,33937.0,1.5303309270831897e-06,1.5303309270831898e-05,-0.26753358873361033,-0.025527844062075644,True
tamborlane_2008,Tamborlane,patchtst,tide,23728.0,1.8431105727829454e-18,3.5019100882875963e-17,-0.4878756812172881,-0.05478820537827067,True
tamborlane_2008,Tamborlane,patchtst,deepar,7669.0,7.974616324901112e-51,3.1898465299604448e-49,-0.8344790373927589,-0.26782427645557094,True
tamborlane_2008,Tamborlane,patchtst,moment,2928.0,1.3943014204562774e-63,6.1349262500076205e-62,-0.9368046187881077,-0.28866479726573013,True
tamborlane_2008,Tamborlane,tft,ttm,39865.0,0.012133713988318221,0.09706971190654577,0.13958884152592674,0.02075958639751807,False
tamborlane_2008,Tamborlane,tft,tide,40034.0,0.01457826237484544,0.10204783662391807,-0.1359412939081638,-0.008500774918676957,False
tamborlane_2008,Tamborlane,tft,deepar,12073.0,2.7706382028680604e-40,7.75778696803057e-39,-0.7394269681109372,-0.22153684599597723,True
tamborlane_2008,Tamborlane,tft,moment,7177.0,4.423970677705215e-52,1.813827977859138e-50,-0.8450979334160686,-0.24237736680613642,True
tamborlane_2008,Tamborlane,ttm,tide,31179.0,4.181628509758702e-09,4.599791360734572e-08,-0.3270598392057411,-0.029260361316195027,True
tamborlane_2008,Tamborlane,ttm,deepar,13134.0,6.218160689247751e-38,1.6167217792044154e-36,-0.7165272756704257,-0.2422964323934953,True
tamborlane_2008,Tamborlane,ttm,moment,3017.0,2.4964029221831135e-63,1.0734532565387388e-61,-0.9348837209302325,-0.2631369532036545,True
tamborlane_2008,Tamborlane,tide,deepar,15270.0,2.0190562151684353e-33,4.8457349164042447e-32,-0.6704257270814223,-0.21303607107730027,True
tamborlane_2008,Tamborlane,tide,moment,8389.0,5.143185575286819e-49,2.0058423743618595e-47,-0.818939189553769,-0.23387659188745946,True
tamborlane_2008,Tamborlane,deepar,moment,40670.0,0.02808938775841187,0.1685363265504712,-0.12221442831705606,-0.02084052081015919,False
